# Имена эмодзи — Unicode CLDR (common/annotations/ru.xml, annotationsDerived/ru.xml), tools/emoji_ru.py.
# Copyright © 2001–2026 Unicode, Inc. Distributed under the Unicode License v3 (SPDX: Unicode-3.0):
# Полный текст уведомления — emoji_ru.LICENSE.txt рядом.
# Формат: эмодзи без U+FE0F <TAB> имя.
#⃣	клавиши: #
*⃣	клавиши: *
⛈	гроза
⛎	знак зодиака Змееносец
⛏	кирка
⛑	каска с белым крестом
⛓	цепь
⛓‍💥	разорванная цепь
⛔	въезд запрещен
⛩	синтоистский храм
⛪	церковь
⛰	гора
⛱	пляжный зонт
⛲	фонтан
⛳	гольф
⛴	паром
⛵	парусник
⛷	горные лыжи
⛸	коньки
⛹	баскетболист
⛹‍♀	женщина с мячом
⛹‍♂	мужчина с мячом
⛹🏻	баскетболист
⛹🏻‍♀	женщина с мячом
⛹🏻‍♂	мужчина с мячом
⛹🏼	баскетболист
⛹🏼‍♀	женщина с мячом
⛹🏼‍♂	мужчина с мячом
⛹🏽	баскетболист
⛹🏽‍♀	женщина с мячом
⛹🏽‍♂	мужчина с мячом
⛹🏾	баскетболист
⛹🏾‍♀	женщина с мячом
⛹🏾‍♂	мужчина с мячом
⛹🏿	баскетболист
⛹🏿‍♀	женщина с мячом
⛹🏿‍♂	мужчина с мячом
⛺	палатка
⛽	заправка
✂	ножницы
✅	белая галочка
✈	самолет
✉	конверт
✊	поднятый кулак
✊🏻	поднятый кулак
✊🏼	поднятый кулак
✊🏽	поднятый кулак
✊🏾	поднятый кулак
✊🏿	поднятый кулак
✋	поднятая ладонь
✋🏻	поднятая ладонь
✋🏼	поднятая ладонь
✋🏽	поднятая ладонь
✋🏾	поднятая ладонь
✋🏿	поднятая ладонь
✌	жест V
✌🏻	жест V
✌🏼	жест V
✌🏽	жест V
✌🏾	жест V
✌🏿	жест V
✍	пишущая рука
✍🏻	пишущая рука
✍🏼	пишущая рука
✍🏽	пишущая рука
✍🏾	пишущая рука
✍🏿	пишущая рука
✏	карандаш
✒	перьевой наконечник
✔	галочка
✖	знак умножения
✝	латинский крест
✡	звезда Давида
✨	блестки
✳	восьмиконечная звездочка
✴	восьмиконечная звезда
❄	снежинка
❇	искра
❌	крестик
❎	кнопка «крестик»
❓	красный вопросительный знак
❔	белый вопросительный знак
❕	белый восклицательный знак
❗	красный восклицательный знак
❣	восклицательный знак в виде сердца
❤	алое сердце
❤‍🔥	горящее сердце
❤‍🩹	заживающее сердце
➕	знак сложения
➖	знак вычитания
➗	знак деления
➡	стрелка вправо
➰	петля
➿	двойная петля
⬅	стрелка влево
⬆	стрелка вверх
⬇	стрелка вниз
⬛	большой черный квадрат
⬜	большой белый квадрат
⭐	желтая звезда
⭕	красное кольцо
〰	волнистая линия
〽	вступает другой голос
㊗	поздравление
㊙	секрет
🀄	маджонг
🃏	джокер
🅰	II группа крови
🅱	III группа крови
🅾	I группа крови
🅿	парковка
🆎	IV группа крови
🆑	кнопка «очистить»
🆒	значок «круто»
🆓	значок «бесплатно»
🆔	значок «идентификация»
🆕	значок «новинка»
🆖	значок «не годится»
🆗	значок «ОК»
🆘	значок SOS
🆙	значок «обновление»
🆚	значок «против»
🇦🇨	флаг: о-в Вознесения
🇦🇩	флаг: Андорра
🇦🇪	флаг: ОАЭ
🇦🇫	флаг: Афганистан
🇦🇬	флаг: Антигуа и Барбуда
🇦🇮	флаг: Ангилья
🇦🇱	флаг: Албания
🇦🇲	флаг: Армения
🇦🇴	флаг: Ангола
🇦🇶	флаг: Антарктида
🇦🇷	флаг: Аргентина
🇦🇸	флаг: Американское Самоа
🇦🇹	флаг: Австрия
🇦🇺	флаг: Австралия
🇦🇼	флаг: Аруба
🇦🇽	флаг: Аландские о-ва
🇦🇿	флаг: Азербайджан
🇧🇦	флаг: Босния и Герцеговина
🇧🇧	флаг: Барбадос
🇧🇩	флаг: Бангладеш
🇧🇪	флаг: Бельгия
🇧🇫	флаг: Буркина-Фасо
🇧🇬	флаг: Болгария
🇧🇭	флаг: Бахрейн
🇧🇮	флаг: Бурунди
🇧🇯	флаг: Бенин
🇧🇱	флаг: Сен-Бартелеми
🇧🇲	флаг: Бермудские о-ва
🇧🇳	флаг: Бруней
🇧🇴	флаг: Боливия
🇧🇶	флаг: Бонэйр, Синт-Эстатиус и Саба
🇧🇷	флаг: Бразилия
🇧🇸	флаг: Багамы
🇧🇹	флаг: Бутан
🇧🇻	флаг: о-в Буве
🇧🇼	флаг: Ботсвана
🇧🇾	флаг: Беларусь
🇧🇿	флаг: Белиз
🇨🇦	флаг: Канада
🇨🇨	флаг: Кокосовые о-ва
🇨🇩	флаг: Конго - Киншаса
🇨🇫	флаг: Центрально-Африканская Республика
🇨🇬	флаг: Конго - Браззавиль
🇨🇭	флаг: Швейцария
🇨🇮	флаг: Кот-д’Ивуар
🇨🇰	флаг: о-ва Кука
🇨🇱	флаг: Чили
🇨🇲	флаг: Камерун
🇨🇳	флаг: Китай
🇨🇴	флаг: Колумбия
🇨🇵	флаг: о-в Клиппертон
🇨🇶	флаг: Сарк
🇨🇷	флаг: Коста-Рика
🇨🇺	флаг: Куба
🇨🇻	флаг: Кабо-Верде
🇨🇼	флаг: Кюрасао
🇨🇽	флаг: о-в Рождества
🇨🇾	флаг: Кипр
🇨🇿	флаг: Чехия
🇩🇪	флаг: Германия
🇩🇬	флаг: Диего-Гарсия
🇩🇯	флаг: Джибути
🇩🇰	флаг: Дания
🇩🇲	флаг: Доминика
🇩🇴	флаг: Доминиканская Республика
🇩🇿	флаг: Алжир
🇪🇦	флаг: Сеута и Мелилья
🇪🇨	флаг: Эквадор
🇪🇪	флаг: Эстония
🇪🇬	флаг: Египет
🇪🇭	флаг: Западная Сахара
🇪🇷	флаг: Эритрея
🇪🇸	флаг: Испания
🇪🇹	флаг: Эфиопия
🇪🇺	флаг: Европейский союз
🇫🇮	флаг: Финляндия
🇫🇯	флаг: Фиджи
🇫🇰	флаг: Фолклендские о-ва
🇫🇲	флаг: Федеративные Штаты Микронезии
🇫🇴	флаг: Фарерские о-ва
🇫🇷	флаг: Франция
🇬🇦	флаг: Габон
🇬🇧	флаг: Великобритания
🇬🇩	флаг: Гренада
🇬🇪	флаг: Грузия
🇬🇫	флаг: Французская Гвиана
🇬🇬	флаг: Гернси
🇬🇭	флаг: Гана
🇬🇮	флаг: Гибралтар
🇬🇱	флаг: Гренландия
🇬🇲	флаг: Гамбия
🇬🇳	флаг: Гвинея
🇬🇵	флаг: Гваделупа
🇬🇶	флаг: Экваториальная Гвинея
🇬🇷	флаг: Греция
🇬🇸	флаг: Южная Георгия и Южные Сандвичевы о-ва
🇬🇹	флаг: Гватемала
🇬🇺	флаг: Гуам
🇬🇼	флаг: Гвинея-Бисау
🇬🇾	флаг: Гайана
🇭🇰	флаг: Гонконг (САР)
🇭🇲	флаг: о-ва Херд и Макдональд
🇭🇳	флаг: Гондурас
🇭🇷	флаг: Хорватия
🇭🇹	флаг: Гаити
🇭🇺	флаг: Венгрия
🇮🇨	флаг: Канарские о-ва
🇮🇩	флаг: Индонезия
🇮🇪	флаг: Ирландия
🇮🇱	флаг: Израиль
🇮🇲	флаг: о-в Мэн
🇮🇳	флаг: Индия
🇮🇴	флаг: Британская территория в Индийском океане
🇮🇶	флаг: Ирак
🇮🇷	флаг: Иран
🇮🇸	флаг: Исландия
🇮🇹	флаг: Италия
🇯🇪	флаг: Джерси
🇯🇲	флаг: Ямайка
🇯🇴	флаг: Иордания
🇯🇵	флаг: Япония
🇰🇪	флаг: Кения
🇰🇬	флаг: Киргизия
🇰🇭	флаг: Камбоджа
🇰🇮	флаг: Кирибати
🇰🇲	флаг: Коморы
🇰🇳	флаг: Сент-Китс и Невис
🇰🇵	флаг: КНДР
🇰🇷	флаг: Республика Корея
🇰🇼	флаг: Кувейт
🇰🇾	флаг: о-ва Кайман
🇰🇿	флаг: Казахстан
🇱🇦	флаг: Лаос
🇱🇧	флаг: Ливан
🇱🇨	флаг: Сент-Люсия
🇱🇮	флаг: Лихтенштейн
🇱🇰	флаг: Шри-Ланка
🇱🇷	флаг: Либерия
🇱🇸	флаг: Лесото
🇱🇹	флаг: Литва
🇱🇺	флаг: Люксембург
🇱🇻	флаг: Латвия
🇱🇾	флаг: Ливия
🇲🇦	флаг: Марокко
🇲🇨	флаг: Монако
🇲🇩	флаг: Молдова
🇲🇪	флаг: Черногория
🇲🇫	флаг: Сен-Мартен
🇲🇬	флаг: Мадагаскар
🇲🇭	флаг: Маршалловы о-ва
🇲🇰	флаг: Северная Македония
🇲🇱	флаг: Мали
🇲🇲	флаг: Мьянма (Бирма)
🇲🇳	флаг: Монголия
🇲🇴	флаг: Макао (САР)
🇲🇵	флаг: Северные Марианские о-ва
🇲🇶	флаг: Мартиника
🇲🇷	флаг: Мавритания
🇲🇸	флаг: Монтсеррат
🇲🇹	флаг: Мальта
🇲🇺	флаг: Маврикий
🇲🇻	флаг: Мальдивы
🇲🇼	флаг: Малави
🇲🇽	флаг: Мексика
🇲🇾	флаг: Малайзия
🇲🇿	флаг: Мозамбик
🇳🇦	флаг: Намибия
🇳🇨	флаг: Новая Каледония
🇳🇪	флаг: Нигер
🇳🇫	флаг: о-в Норфолк
🇳🇬	флаг: Нигерия
🇳🇮	флаг: Никарагуа
🇳🇱	флаг: Нидерланды
🇳🇴	флаг: Норвегия
🇳🇵	флаг: Непал
🇳🇷	флаг: Науру
🇳🇺	флаг: Ниуэ
🇳🇿	флаг: Новая Зеландия
🇴🇲	флаг: Оман
🇵🇦	флаг: Панама
🇵🇪	флаг: Перу
🇵🇫	флаг: Французская Полинезия
🇵🇬	флаг: Папуа — Новая Гвинея
🇵🇭	флаг: Филиппины
🇵🇰	флаг: Пакистан
🇵🇱	флаг: Польша
🇵🇲	флаг: Сен-Пьер и Микелон
🇵🇳	флаг: о-ва Питкэрн
🇵🇷	флаг: Пуэрто-Рико
🇵🇸	флаг: Палестинские территории
🇵🇹	флаг: Португалия
🇵🇼	флаг: Палау
🇵🇾	флаг: Парагвай
🇶🇦	флаг: Катар
🇷🇪	флаг: Реюньон
🇷🇴	флаг: Румыния
🇷🇸	флаг: Сербия
🇷🇺	флаг: Россия
🇷🇼	флаг: Руанда
🇸🇦	флаг: Саудовская Аравия
🇸🇧	флаг: Соломоновы о-ва
🇸🇨	флаг: Сейшельские о-ва
🇸🇩	флаг: Судан
🇸🇪	флаг: Швеция
🇸🇬	флаг: Сингапур
🇸🇭	флаг: о-в Св. Елены
🇸🇮	флаг: Словения
🇸🇯	флаг: Шпицберген и Ян-Майен
🇸🇰	флаг: Словакия
🇸🇱	флаг: Сьерра-Леоне
🇸🇲	флаг: Сан-Марино
🇸🇳	флаг: Сенегал
🇸🇴	флаг: Сомали
🇸🇷	флаг: Суринам
🇸🇸	флаг: Южный Судан
🇸🇹	флаг: Сан-Томе и Принсипи
🇸🇻	флаг: Сальвадор
🇸🇽	флаг: Синт-Мартен
🇸🇾	флаг: Сирия
🇸🇿	флаг: Эсватини
🇹🇦	флаг: Тристан-да-Кунья
🇹🇨	флаг: Тёркс и Кайкос
🇹🇩	флаг: Чад
🇹🇫	флаг: Французские Южные территории
🇹🇬	флаг: Того
🇹🇭	флаг: Таиланд
🇹🇯	флаг: Таджикистан
🇹🇰	флаг: Токелау
🇹🇱	флаг: Восточный Тимор
🇹🇲	флаг: Туркменистан
🇹🇳	флаг: Тунис
🇹🇴	флаг: Тонга
🇹🇷	флаг: Турция
🇹🇹	флаг: Тринидад и Тобаго
🇹🇻	флаг: Тувалу
🇹🇼	флаг: Тайвань
🇹🇿	флаг: Танзания
🇺🇦	флаг: Украина
🇺🇬	флаг: Уганда
🇺🇲	флаг: Внешние малые о-ва (США)
🇺🇳	флаг: Организация Объединенных Наций
🇺🇸	флаг: Соединенные Штаты
🇺🇾	флаг: Уругвай
🇺🇿	флаг: Узбекистан
🇻🇦	флаг: Ватикан
🇻🇨	флаг: Сент-Винсент и Гренадины
🇻🇪	флаг: Венесуэла
🇻🇬	флаг: Виргинские о-ва (Великобритания)
🇻🇮	флаг: Виргинские о-ва (США)
🇻🇳	флаг: Вьетнам
🇻🇺	флаг: Вануату
🇼🇫	флаг: Уоллис и Футуна
🇼🇸	флаг: Самоа
🇽🇰	флаг: Косово
🇾🇪	флаг: Йемен
🇾🇹	флаг: Майотта
🇿🇦	флаг: Южно-Африканская Республика
🇿🇲	флаг: Замбия
🇿🇼	флаг: Зимбабве
🈁	значок «здесь»
🈂	цена услуги
🈚	бесплатно
🈯	забронировано
🈲	запрет
🈳	есть места
🈴	проходной балл
🈵	нет мест
🈶	платно
🈷	месяц
🈸	заявка
🈹	скидка
🈺	открыто
🉐	удачная сделка
🉑	допустимость
🌀	циклон
🌁	туман
🌂	закрытый зонт
🌃	звездная ночь
🌄	восход солнца над горами
🌅	восход
🌆	закат в городе
🌇	закат
🌈	радуга
🌉	мост ночью
🌊	волна
🌋	вулкан
🌌	Млечный Путь
🌍	Европа и Африка на земном шаре
🌎	Америка на земном шаре
🌏	Азия и Австралия на земном шаре
🌐	меридианы
🌑	новолуние
🌒	молодая луна
🌓	луна в первой четверти
🌔	прибывающая луна
🌕	полнолуние
🌖	убывающая луна
🌗	луна в последней четверти
🌘	старая луна
🌙	полумесяц
🌚	новая луна с лицом
🌛	луна в первой четверти с лицом
🌜	луна в последней четверти с лицом
🌝	полная луна с лицом
🌞	солнце с лицом
🌟	сияющая звезда
🌠	падающая звезда
🌡	термометр
🌤	солнце за облачком
🌥	солнце за облаком
🌦	слепой дождь
🌧	дождь
🌨	снег
🌩	молния
🌪	торнадо
🌫	густой туман
🌬	дует ветер
🌭	хот-дог
🌮	тако
🌯	буррито
🌰	каштан
🌱	росток
🌲	елка
🌳	дерево
🌴	пальма
🌵	кактус
🌶	острый перец
🌷	тюльпан
🌸	цветок вишни
🌹	роза
🌺	гибискус
🌻	подсолнух
🌼	цветок
🌽	кукурузный початок
🌾	колос
🌿	веточка
🍀	четырехлистный клевер
🍁	кленовый лист
🍂	падающие листья
🍃	листья на ветру
🍄	гриб
🍄‍🟫	бурый гриб
🍅	помидор
🍆	баклажан
🍇	виноград
🍈	дыня
🍉	арбуз
🍊	мандарин
🍋	лимон
🍋‍🟩	лайм
🍌	банан
🍍	ананас
🍎	красное яблоко
🍏	зеленое яблоко
🍐	груша
🍑	персик
🍒	вишня
🍓	клубника
🍔	гамбургер
🍕	пицца
🍖	мясо на косточке
🍗	куриная ножка
🍘	рисовый крекер
🍙	онигири
🍚	рис
🍛	рис с карри
🍜	лапша
🍝	спагетти
🍞	хлеб
🍟	картофель фри
🍠	печеный сладкий картофель
🍡	данго
🍢	одэн
🍣	суши
🍤	жареная креветка
🍥	камабоко
🍦	мороженое в стаканчике
🍧	мороженое в креманке
🍨	мороженое
🍩	пончик
🍪	печенье
🍫	шоколад
🍬	конфета
🍭	леденец
🍮	пудинг
🍯	мед
🍰	кусочек торта
🍱	бэнто
🍲	кастрюля с горячей едой
🍳	яичница на сковороде
🍴	вилка и нож
🍵	чашка без ручки
🍶	бутылка саке
🍷	бокал вина
🍸	коктейль
🍹	тропический коктейль
🍺	кружка пива
🍻	чокающиеся кружки
🍼	бутылочка с соской
🍽	тарелка с приборами
🍾	шампанское
🍿	попкорн
🎀	бантик
🎁	подарок
🎂	торт ко дню рождения
🎃	тыква-фонарь
🎄	новогодняя елка
🎅	Санта-Клаус
🎅🏻	Санта-Клаус
🎅🏼	Санта-Клаус
🎅🏽	Санта-Клаус
🎅🏾	Санта-Клаус
🎅🏿	Санта-Клаус
🎆	фейерверк
🎇	бенгальский огонь
🎈	воздушный шарик
🎉	хлопушка
🎊	конфетти
🎋	бамбук с бумажными лентами
🎌	скрещенные флаги
🎍	украшенный бамбук
🎎	японские куклы
🎏	вымпелы в виде карпов
🎐	музыка ветра
🎑	праздник Луны
🎒	ранец
🎓	шапочка выпускника
🎖	военная медаль
🎗	памятная лента
🎙	студийный микрофон
🎚	слайдер
🎛	регуляторы
🎞	кинопленка
🎟	билеты
🎠	лошадь на карусели
🎡	колесо обозрения
🎢	американские горки
🎣	удочка с рыбой
🎤	микрофон
🎥	кинокамера
🎦	видеозапись
🎧	наушники
🎨	палитра с красками
🎩	цилиндр
🎪	цирковой шатер
🎫	билет
🎬	хлопушка-нумератор
🎭	маски
🎮	видеоигры
🎯	мишень
🎰	игровой автомат
🎱	бильярд
🎲	игральная кость
🎳	боулинг
🎴	цветочная карта
🎵	нота
🎶	ноты
🎷	саксофон
🎸	гитара
🎹	клавишные
🎺	труба
🎻	скрипка
🎼	нотный стан
🎽	футболка для бега
🎾	теннис
🎿	лыжи
🏀	баскетбол
🏁	клетчатый флаг
🏂	сноубордист
🏂🏻	сноубордист
🏂🏼	сноубордист
🏂🏽	сноубордист
🏂🏾	сноубордист
🏂🏿	сноубордист
🏃	человек бежит
🏃‍♀	женщина бежит
🏃‍♀‍➡	женщина бежит: , направленные вправо
🏃‍♂	мужчина бежит
🏃‍♂‍➡	мужчина бежит: , направленные вправо
🏃‍➡	человек бежит: , направленные вправо
🏃🏻	человек бежит
🏃🏻‍♀	женщина бежит
🏃🏻‍♀‍➡	женщина бежит , направленные вправо
🏃🏻‍♂	мужчина бежит
🏃🏻‍♂‍➡	мужчина бежит , направленные вправо
🏃🏻‍➡	человек бежит , направленные вправо
🏃🏼	человек бежит
🏃🏼‍♀	женщина бежит
🏃🏼‍♀‍➡	женщина бежит , направленные вправо
🏃🏼‍♂	мужчина бежит
🏃🏼‍♂‍➡	мужчина бежит , направленные вправо
🏃🏼‍➡	человек бежит , направленные вправо
🏃🏽	человек бежит
🏃🏽‍♀	женщина бежит
🏃🏽‍♀‍➡	женщина бежит , направленные вправо
🏃🏽‍♂	мужчина бежит
🏃🏽‍♂‍➡	мужчина бежит , направленные вправо
🏃🏽‍➡	человек бежит , направленные вправо
🏃🏾	человек бежит
🏃🏾‍♀	женщина бежит
🏃🏾‍♀‍➡	женщина бежит , направленные вправо
🏃🏾‍♂	мужчина бежит
🏃🏾‍♂‍➡	мужчина бежит , направленные вправо
🏃🏾‍➡	человек бежит , направленные вправо
🏃🏿	человек бежит
🏃🏿‍♀	женщина бежит
🏃🏿‍♀‍➡	женщина бежит , направленные вправо
🏃🏿‍♂	мужчина бежит
🏃🏿‍♂‍➡	мужчина бежит , направленные вправо
🏃🏿‍➡	человек бежит , направленные вправо
🏄	серфинг
🏄‍♀	серфингистка
🏄‍♂	серфингист
🏄🏻	серфинг
🏄🏻‍♀	серфингистка
🏄🏻‍♂	серфингист
🏄🏼	серфинг
🏄🏼‍♀	серфингистка
🏄🏼‍♂	серфингист
🏄🏽	серфинг
🏄🏽‍♀	серфингистка
🏄🏽‍♂	серфингист
🏄🏾	серфинг
🏄🏾‍♀	серфингистка
🏄🏾‍♂	серфингист
🏄🏿	серфинг
🏄🏿‍♀	серфингистка
🏄🏿‍♂	серфингист
🏅	спортивная медаль
🏆	кубок
🏇	скачки
🏇🏻	скачки
🏇🏼	скачки
🏇🏽	скачки
🏇🏾	скачки
🏇🏿	скачки
🏈	американский футбол
🏉	регби
🏊	плавание
🏊‍♀	пловчиха
🏊‍♂	пловец
🏊🏻	плавание
🏊🏻‍♀	пловчиха
🏊🏻‍♂	пловец
🏊🏼	плавание
🏊🏼‍♀	пловчиха
🏊🏼‍♂	пловец
🏊🏽	плавание
🏊🏽‍♀	пловчиха
🏊🏽‍♂	пловец
🏊🏾	плавание
🏊🏾‍♀	пловчиха
🏊🏾‍♂	пловец
🏊🏿	плавание
🏊🏿‍♀	пловчиха
🏊🏿‍♂	пловец
🏋	тяжелоатлет
🏋‍♀	женщина со штангой
🏋‍♂	мужчина со штангой
🏋🏻	тяжелоатлет
🏋🏻‍♀	женщина со штангой
🏋🏻‍♂	мужчина со штангой
🏋🏼	тяжелоатлет
🏋🏼‍♀	женщина со штангой
🏋🏼‍♂	мужчина со штангой
🏋🏽	тяжелоатлет
🏋🏽‍♀	женщина со штангой
🏋🏽‍♂	мужчина со штангой
🏋🏾	тяжелоатлет
🏋🏾‍♀	женщина со штангой
🏋🏾‍♂	мужчина со штангой
🏋🏿	тяжелоатлет
🏋🏿‍♀	женщина со штангой
🏋🏿‍♂	мужчина со штангой
🏌	гольфист
🏌‍♀	женщина играет в гольф
🏌‍♂	мужчина играет в гольф
🏌🏻	гольфист
🏌🏻‍♀	женщина играет в гольф
🏌🏻‍♂	мужчина играет в гольф
🏌🏼	гольфист
🏌🏼‍♀	женщина играет в гольф
🏌🏼‍♂	мужчина играет в гольф
🏌🏽	гольфист
🏌🏽‍♀	женщина играет в гольф
🏌🏽‍♂	мужчина играет в гольф
🏌🏾	гольфист
🏌🏾‍♀	женщина играет в гольф
🏌🏾‍♂	мужчина играет в гольф
🏌🏿	гольфист
🏌🏿‍♀	женщина играет в гольф
🏌🏿‍♂	мужчина играет в гольф
🏍	мотоцикл
🏎	гоночный автомобиль
🏏	крикет
🏐	волейбол
🏑	хоккей на траве
🏒	хоккей
🏓	настольный теннис
🏔	гора со снежной шапкой
🏕	кемпинг
🏖	пляж
🏗	стройка
🏘	дома
🏙	вид на город
🏚	заброшенный дом
🏛	античное здание
🏜	пустыня
🏝	остров
🏞	национальный парк
🏟	стадион
🏠	дом
🏡	дом с садом
🏢	офисное здание
🏣	японская почта
🏤	почта
🏥	больница
🏦	банк
🏧	значок банкомата
🏨	гостиница
🏩	гостиница для свиданий
🏪	круглосуточный магазин
🏫	школа
🏬	универмаг
🏭	завод
🏮	красный бумажный фонарик
🏯	японский замок
🏰	замок
🏳	белый флаг
🏳‍⚧	флаг трансгендерного сообщества
🏳‍🌈	радужный флаг
🏴	черный флаг
🏴‍☠	пиратский флаг
🏴󠁧󠁢󠁥󠁮󠁧󠁿	флаг: Англия
🏴󠁧󠁢󠁳󠁣󠁴󠁿	флаг: Шотландия
🏴󠁧󠁢󠁷󠁬󠁳󠁿	флаг: Уэльс
🏵	розетка
🏷	бирка
🏸	бадминтон
🏹	лук со стрелой
🏺	амфора
🐀	крыса
🐁	мышь
🐂	бык
🐃	буйвол
🐄	корова
🐅	тигр
🐆	леопард
🐇	кролик
🐈	кошка
🐈‍⬛	черная кошка
🐉	дракон
🐊	крокодил
🐋	кит
🐌	улитка
🐍	змея
🐎	лошадь
🐏	баран
🐐	коза
🐑	овца
🐒	обезьяна
🐓	петух
🐔	курица
🐕	собака
🐕‍🦺	служебная собака
🐖	свинья
🐗	кабан
🐘	слон
🐙	осьминог
🐚	раковина
🐛	гусеница
🐜	муравей
🐝	пчела
🐞	божья коровка
🐟	рыба
🐠	тропическая рыба
🐡	рыба-еж
🐢	черепаха
🐣	цыпленок в яйце
🐤	цыпленок боком
🐥	цыпленок
🐦	птица
🐦‍⬛	черная птица
🐦‍🔥	феникс
🐧	пингвин
🐨	морда коалы
🐩	пудель
🐪	одногорбый верблюд
🐫	двугорбый верблюд
🐬	дельфин
🐭	морда мыши
🐮	морда коровы
🐯	морда тигра
🐰	морда кролика
🐱	морда кошки
🐲	голова дракона
🐳	кит с фонтанчиком
🐴	морда лошади
🐵	морда обезьяны
🐶	морда собаки
🐷	морда свиньи
🐸	голова лягушки
🐹	морда хомяка
🐺	морда волка
🐻	морда медведя
🐻‍❄	морда белого медведя
🐼	морда панды
🐽	свиной пятачок
🐾	следы животного
🐿	бурундук
👀	глаза
👁	глаз
👁‍🗨	значок свидетеля
👂	ухо
👂🏻	ухо
👂🏼	ухо
👂🏽	ухо
👂🏾	ухо
👂🏿	ухо
👃	нос
👃🏻	нос
👃🏼	нос
👃🏽	нос
👃🏾	нос
👃🏿	нос
👄	рот
👅	язык
👆	указывающий вверх палец
👆🏻	указывающий вверх палец
👆🏼	указывающий вверх палец
👆🏽	указывающий вверх палец
👆🏾	указывающий вверх палец
👆🏿	указывающий вверх палец
👇	указывающий вниз палец
👇🏻	указывающий вниз палец
👇🏼	указывающий вниз палец
👇🏽	указывающий вниз палец
👇🏾	указывающий вниз палец
👇🏿	указывающий вниз палец
👈	указывающий налево палец
👈🏻	указывающий налево палец
👈🏼	указывающий налево палец
👈🏽	указывающий налево палец
👈🏾	указывающий налево палец
👈🏿	указывающий налево палец
👉	указывающий направо палец
👉🏻	указывающий направо палец
👉🏼	указывающий направо палец
👉🏽	указывающий направо палец
👉🏾	указывающий направо палец
👉🏿	указывающий направо палец
👊	кулак
👊🏻	кулак
👊🏼	кулак
👊🏽	кулак
👊🏾	кулак
👊🏿	кулак
👋	машет рукой
👋🏻	машет рукой
👋🏼	машет рукой
👋🏽	машет рукой
👋🏾	машет рукой
👋🏿	машет рукой
👌	жест «все хорошо»
👌🏻	жест «все хорошо»
👌🏼	жест «все хорошо»
👌🏽	жест «все хорошо»
👌🏾	жест «все хорошо»
👌🏿	жест «все хорошо»
👍	большой палец вверх
👍🏻	большой палец вверх
👍🏼	большой палец вверх
👍🏽	большой палец вверх
👍🏾	большой палец вверх
👍🏿	большой палец вверх
👎	большой палец вниз
👎🏻	большой палец вниз
👎🏼	большой палец вниз
👎🏽	большой палец вниз
👎🏾	большой палец вниз
👎🏿	большой палец вниз
👏	аплодисменты
👏🏻	аплодисменты
👏🏼	аплодисменты
👏🏽	аплодисменты
👏🏾	аплодисменты
👏🏿	аплодисменты
👐	ладони в стороны
👐🏻	ладони в стороны
